,city,city_n
11810,Warrington,2326
11814,Islandia,2327
11815,Southbury,2328
11828,Bridgewater,2329
11835,Hicksville,2330
11838,Huntingdon Valley,2331
11844,Glenside,2332
11845,Metuchen,2333
11850,Souderton,2334
11852,Greenlawn,2335
11861,Scarsdale,2336
11864,Westbury,2337
11871,Deer Park,2338
11873,Iselin,2339
11877,Browns Mills,2340
11881,Hellertown,2341
11890,Waccabuc,2342
11898,Roslyn,2343
11901,Lindenhurst,2344
11907,Port Jefferson,2345
11908,Quakertown,2346
11911,East Orange,2347
11925,Forest Hills,2348
11952,Morristown,2349
11973,Rocky Hill,2350
11979,Moosup,2351
11980,Stonington,2352
11981,East Falmouth,2353
11982,Moriches,2354
11994,Allison Park,2355
12007,Narvon,2356
12009,Chantilly,2357
12012,Andrews Air Force Base,2358
12017,New Cumberland,2359
12018,Stevens,2360
12026,Etters,2361
12046,Unityville,2362
12053,Stephens City,2363
12066,Dumfries,2364
12083,Henryville,2365
12103,Whitestown,2366
12147,Edgewood,2367
12156,West Jefferson,2368
12167,Maumee,2369
12190,Limestone,2370
12196,Mars Hill,2371
12198,Hixson,2372
12204,Castlewood,2373
12217,Appomattox,2374
12233,Mooresville,2375
12259,Siler City,2376
12288,Bassett,2377
12294,Landrum,2378
12315,Waverly,2379
12318,Willow Spring,2380
12335,Dutton,2381
12337,Lanexa,2382
12388,Mechanicsville,2383
12398,Manakin Sabot,2384
12418,Belle Glade,2385
12476,Coral Springs,2386
12478,Clewiston,2387
12493,Astor,2388
12563,Seffner,2389
12566,Kenneth City,2390
12568,Dade City,2391
12573,Thonotosassa,2392
12577,Bartow,2393
12597,Merritt Island,2394
12610,Ruskin,2395
12632,Douglasville,2396
12674,Stone Mountain,2397
12748,Fairmount,2398
12817,Cades,2399
12843,High Springs,2400
12849,Alachua,2401
12851,Green Cove Springs,2402
12868,Fort White,2403
12875,Kingsland,2404
12876,Fleming Island,2405
12895,Ozark,2406
12902,Saint Stephen,2407
12926,Warner Robins,2408
12961,Ridgeland,2409
12974,Valley Park,2410
12985,Plato,2411
12988,Olivia,2412
13003,Elysian,2413
13004,Deforest,2414
13005,Adrian,2415
13007,La Vista,2416
13013,Papillion,2417
13019,Rice,2418
13043,Grandview,2419
13051,Gardner,2420
13054,Sturtevant,2421
13061,Franksville,2422
13068,Brainerd,2423
13069,Hewitt,2424
13071,Olympia Fields,2425
13102,Melrose Park,2426
13111,Mundelein,2427
13112,West Branch,2428
13114,Wichita,2429
13119,Mcallen,2430
13125,The Hills,2431
13171,Cedar Park,2432
13211,Haltom City,2433
13229,Luling,2434
13290,Grosse Tete,2435
13292,Brackettville,2436
13295,Grand Bay,2437
13298,Boligee,2438
13299,Eutaw,2439
13303,Ferris,2440
13311,Red Oak,2441
13351,Crawfordsville,2442
13355,Flowood,2443
13363,Southaven,2444
13365,Chalmette,2445
13443,Hermitage,2446
13447,Old Hickory,2447
13457,Mcminnville,2448
13474,Sumrall,2449
13478,Gulfport,2450
13611,South Jordan,2451
13630,Vernal,2452
13635,Springville,2453
13646,Bountiful,2454
13662,Coolidge,2455
13733,Dairy,2456
13734,Klamath Falls,2457
13740,Cloverdale,2458
13748,Seatac,2459
13749,Sequim,2460
13765,Oregon City,2461
13767,Tualatin,2462
13769,Yamhill,2463
13775,Timber,2464
13784,Twain Harte,2465
13786,Coarsegold,2466
13790,Catheys Valley,2467
13808,Alameda,2468
13836,Sonoma,2469
13843,Los Molinos,2470
13861,Orland,2471
13869,Camino,2472
13870,Sutter Creek,2473
13875,San Andreas,2474
13876,Walnut Grove,2475
13886,Garden Valley,2476
13892,Nicolaus,2477
13923,Meridian,2478
13924,Willows,2479
13955,Forestville,2480
13957,Willits,2481
13967,Myers Flat,2482
13970,Aromas,2483
13971,Marina,2484
13974,Soledad,2485
13980,Reedley,2486
13981,Woodlake,2487
13987,Oceano,2488
14005,Somis,2489
14020,Canyon Country,2490
14026,Placentia,2491
14076,National City,2492
14084,Grand Terrace,2493
14105,Marina Del Rey,2494
14119,Redondo Beach,2495
14136,Yucaipa,2496
14159,Clarence,2497
14167,Edinboro,2498
14168,Girard,2499
14173,Allenstown,2500
14177,Hyde Park,2501
14182,Lynn,2502
14186,Taunton,2503
14212,Derry,2504
14248,Erie,2505
14250,Elwell,2506
14256,Danielson,2507
14257,Leominster,2508
14258,Willington,2509
14269,Amsterdam,2510
14310,Holbrook,2511
14312,West Nyack,2512
14314,Baldwin,2513
14315,Malvern,2514
14323,Flanders,2515
14327,Cold Spring,2516
14336,Southampton,2517
14338,Tuckahoe,2518
14340,Harleysville,2519
14341,Chester Springs,2520
14343,Jenkintown,2521
14360,Glenolden,2522
14361,Willow Grove,2523
14362,Bohemia,2524
14375,Wappingers Falls,2525
14380,Fair Lawn,2526
14387,South Richmond Hill,2527
14389,Bechtelsville,2528
14403,Piscataway,2529
14405,Fresh Meadows,2530
14406,Wood Ridge,2531
14409,Ossining,2532
14410,Kenvil,2533
14418,Thorndale,2534
14420,Harriman,2535
14424,Hastings on Hudson,2536
14425,Waldwick,2537
14431,Saddle River,2538
14450,Rockingham,2539
14451,Weyers Cave,2540
14457,Fairlawn,2541
14459,Greensburg,2542
14460,Mount Sidney,2543
14464,North Canton,2544
14465,West Middlesex,2545
14466,Ebensburg,2546
14467,Reston,2547
14480,Woodbine,2548
14482,Ridgway,2549
14486,Berryville,2550
14488,Ronks,2551
14490,Willow Street,2552
14494,Lititz,2553
14497,Marriottsville,2554
14502,Dallastown,2555
14506,Sunbury,2556
14519,Parkton,2557
14528,Heathsville,2558
14530,Mc Connellsburg,2559
14533,Philipsburg,2560
14538,Selinsgrove,2561
14540,Blandon,2562
14557,Saxton,2563
14575,Kokomo,2564
14578,Floyds Knobs,2565
14585,Harrison,2566
14627,Bowling Green,2567
14635,Taylor Mill,2568
14638,Blue Ash,2569
14646,Hilliard,2570
14649,Mount Sterling,2571
14651,Perrysburg,2572
14662,Lockbourne,2573
14688,Strongsville,2574
14700,Jonesborough,2575
14703,Rockwood,2576
14707,Sylva,2577
14708,Andersonville,2578
14717,Alcoa,2579
14719,Caryville,2580
14763,Conover,2581
14770,Natural Bridge,2582
14782,Kernersville,2583
14792,Axton,2584
14825,Hurt,2585
14827,Blue Ridge,2586
14833,Statesville,2587
14991,Palm Springs,2588
15030,Ochopee,2589
15034,Fort Mc Coy,2590
15052,Weirsdale,2591
15053,Horseshoe Beach,2592
15079,Islamorada,2593
15082,Okeechobee,2594
15094,Sun City Center,2595
15097,Lorida,2596
15219,Turbeville,2597
15263,Acworth,2598
15295,Pauline,2599
15379,Smiths Station,2600
15396,Swainsboro,2601
15402,Morrow,2602
15407,Fort Valley,2603
15412,Barnwell,2604
15414,Lane,2605
15422,Phenix City,2606
15430,Leslie,2607
15434,Dittmer,2608
15449,Lynd,2609
15487,Bayport,2610
15490,Center City,2611
15496,Marine On Saint Croix,2612
15508,Wentzville,2613
15510,Blue Springs,2614
15524,Darien,2615
15533,Moose Lake,2616
15535,Parkers Prairie,2617
15541,Frankfort,2618
15556,Romeoville,2619
15557,Plainfield,2620
15571,Summit Argo,2621
15592,Oakbrook Terrace,2622
15620,Wichita Falls,2623
15659,Choctaw,2624
15728,Lockhart,2625
15770,Salado,2626
15842,Channing,2627
15845,Vina,2628
15849,Semmes,2629
15851,Eight Mile,2630
16004,Toney,2631
16118,Dickinson,2632
16145,Conroe,2633
16181,Manvel,2634
16204,Toquerville,2635
16219,Wheat Ridge,2636
16253,Alpine,2637
16284,Sun City,2638
16312,Superior,2639
16316,Rimrock,2640
16319,Tuba City,2641
16347,El Paso,2642
16357,White City,2643
16358,Chiloquin,2644
16363,Blachly,2645
16382,Langley,2646
16397,Ocean Shores,2647
16406,Sumner,2648
16408,Saint Helens,2649
16416,Richland,2650
16423,Wilsonville,2651
16453,Shingle Springs,2652
16492,Suisun City,2653
16493,Campbell,2654
16525,Palo Cedro,2655
16529,Newcastle,2656
16537,Merced,2657
16575,Lower Lake,2658
16576,Redwood Valley,2659
16577,Hayfork,2660
16578,Ferndale,2661
16589,Gonzales,2662
16603,Lemoore,2663
16604,Armona,2664
16612,Universal City,2665
16634,Moorpark,2666
16649,Huntington Beach,2667
16670,Granada Hills,2668
16691,Upland,2669
16698,Chatsworth,2670
16755,La Habra,2671
16774,Carson,2672
16855,March Air Reserve Base,2673
16876,Woodland Hills,2674
16894,Auburndale,2675
16900,Chestnut Hill,2676
16912,Beverly,2677
16923,North Providence,2678
16930,Redford,2679
16936,Northville,2680
16941,Sterling Heights,2681
16967,Sutton,2682
16969,Sanbornton,2683
16970,Oriskany Falls,2684
16974,Halfmoon,2685
17037,Spring City,2686
17045,Landenberg,2687
17055,Lawrence Township,2688
17057,Massapequa,2689
17061,Elverson,2690
17085,Dobbs Ferry,2691
17087,Farmingville,2692
17091,Sandy Hook,2693
17092,Warminster,2694
17098,East Meadow,2695
17099,Patchogue,2696
17114,Totowa,2697
17145,Cedarhurst,2698
17161,Collegeville,2699
17164,Whitehall,2700
17174,Southport,2701
17192,New City,2702
17200,Berlin,2703
17206,Stoystown,2704
17208,Broadway,2705
17212,Euclid,2706
17216,Hooversville,2707
17217,Cuyahoga Falls,2708
17219,Montoursville,2709
17226,Seven Valleys,2710
17229,Christiana,2711
17236,Red Lion,2712
17239,Bird In Hand,2713
17242,Fallston,2714
17252,Pylesville,2715
17263,Lanham,2716
17265,East Earl,2717
17279,Gordonsville,2718
17377,Lakeside Park,2719
17409,Sevierville,2720
17418,Ooltewah,2721
17462,Wirtz,2722
17464,Amherst,2723
17480,Glade Hill,2724
17518,Pittsboro,2725
17608,Goldsboro,2726
17656,Hobe Sound,2727
17660,Moore Haven,2728
17674,Wilton Manors,2729
17744,Land O Lakes,2730
17762,Vero Beach,2731
17802,Talmo,2732
17845,Cassatt,2733
17865,Mc Cormick,2734
17880,Hartwell,2735
17890,Hickory Grove,2736
17943,Castle Hayne,2737
17979,Cedartown,2738
18023,Tifton,2739
18030,Elloree,2740
18043,Eutawville,2741
18048,Surfside Beach,2742
18073,Norwood,2743
18075,Allendale,2744
18106,Belview,2745
18132,Belle Plaine,2746
18134,Stewart,2747
18152,Becker,2748
18157,Willmar,2749
18179,Granite City,2750
18194,Beloit,2751
18195,Oak Creek,2752
18215,Pillager,2753
18216,Cloquet,2754
18241,Schiller Park,2755
18253,Palatine,2756
18256,Winfield,2757
18272,North Bend,2758
18274,Oak Lawn,2759
18276,Sugar Grove,2760
18278,Clarendon Hills,2761
18283,Anna,2762
18286,Mission,2763
18433,West Lake Hills,2764
18459,Prairieville,2765
18514,The Colony,2766
18539,Hutchins,2767
18542,Brookshire,2768
18579,Fort Walton Beach,2769
18601,Fultondale,2770
18639,Gulf Breeze,2771
18664,Guntersville,2772
18671,Defuniak Springs,2773
18702,Lake Charles,2774
18704,Saucier,2775
18725,Bixby,2776
18806,Green River,2777
18820,Bailey,2778
18832,Sevier,2779
18841,Berthoud,2780
18854,Layton,2781
18872,Woods Cross,2782
18915,Cave Creek,2783
18950,Sierra Blanca,2784
18981,Monmouth,2785
19001,Medical Lake,2786
19019,Deer Island,2787
19035,Hermiston,2788
19076,Ripon,2789
19083,Crows Landing,2790
19099,San Ramon,2791
19150,San Quentin,2792
19167,Olivehurst,2793
19177,Goldfield,2794
19180,Jenner,2795
19182,Nicasio,2796
19186,Glen Ellen,2797
19199,Earlimart,2798
19202,Orosi,2799
19204,Porterville,2800
19221,Mission Viejo,2801
19338,Venice,2802
19343,Canoga Park,2803
19351,Middleport,2804
19352,Franklinville,2805
19356,Northwood,2806
19370,Stratham,2807
19378,South Boston,2808
19380,Alton Bay,2809
19410,Rochester Hills,2810
19423,Townshend,2811
19424,Chicopee,2812
19425,Red Hook,2813
19426,Stephentown,2814
19433,Hoosick Falls,2815
19439,Shutesbury,2816
19441,Holyoke,2817
19443,Boscawen,2818
19447,Remsen,2819
19448,Montrose,2820
19460,Schroon Lake,2821
19463,Margaretville,2822
19467,Walker,2823
19471,Kendall,2824
19489,Hamlin,2825
19498,West Henrietta,2826
19518,Garden City,2827
19520,Elkins Park,2828
19529,Carteret,2829
19544,Ansonia,2830
19546,Ramsey,2831
19553,Wallingford,2832
19562,New Brunswick,2833
19565,Saddle Brook,2834
19567,Putnam Valley,2835
19579,Cross River,2836
19581,Closter,2837
19582,Shoreham,2838
19591,Pleasantville,2839
19621,Schwenksville,2840
19647,Florida,2841
19658,Solon,2842
19661,Finleyville,2843
19667,Apollo,2844
19675,Claysville,2845
19681,Warfordsburg,2846
19694,New Freedom,2847
19699,Airville,2848
19726,Chestertown,2849
19738,Gap,2850
19764,Birdsboro,2851
19777,Amissville,2852
19780,Driftwood,2853
19785,Enola,2854
19789,Beech Grove,2855
19810,Merrillville,2856
19820,Cleves,2857
19832,Farmersville,2858
19841,Ryland Hght,2859
19842,Ryland Heights,2860
19891,Pineville,2861
19972,Lowell,2862
19998,Skippers,2863
20011,Sandston,2864
20021,Kenbridge,2865
20043,Hopewell,2866
20111,Miramar,2867
20112,Cape Coral,2868
20143,Oakland Park,2869
20167,Osteen,2870
20178,Inverness,2871
20180,Chiefland,2872
20182,Cross City,2873
20185,Titusville,2874
20198,Palmetto Bay,2875
20222,Wimauma,2876
20282,Mount Croghan,2877
20285,Great Falls,2878
20336,Kingstree,2879
20440,Galivants Ferry,2880
20477,Sharon,2881
20530,Denmark,2882
20558,Griffin,2883
20573,Green Pond,2884
20624,Benkelman,2885
20629,Saint Ann,2886
20643,Appleton,2887
20651,Montevideo,2888
20660,De Pere,2889
20677,Hixton,2890
20680,Portage,2891
20685,Boys Town,2892
20688,Elkhorn,2893
20691,Creve Coeur,2894
20692,Hanna City,2895
20701,Menahga,2896
20740,Hainesville,2897
20743,Ingleside,2898
20763,Lyons,2899
20779,University Park,2900
20782,Burr Ridge,2901
20799,Algonquin,2902
20801,Island Lake,2903
21059,Gulf Shores,2904
21065,Tuscumbia,2905
21123,Desoto,2906
21153,West Memphis,2907
21157,Collierville,2908
21170,Holt,2909
21179,Mc Calla,2910
21219,Muscle Shoals,2911
21225,Lester,2912
21227,Forest Home,2913
21260,Attalla,2914
21261,Grant,2915
21267,New Brockton,2916
21270,Locust Fork,2917
21273,Albertville,2918
21290,Gurdon,2919
21291,Diamondhead,2920
21389,Cotulla,2921
21390,Laredo,2922
21444,Northeast Jefferson,2923
21445,Centennial,2924
21459,Moab,2925
21469,Ballard,2926
21493,Sun City West,2927
21535,Guadalupe,2928
21603,Junction City,2929
21610,Blodgett,2930
21622,Airway Heights,2931
21633,Kirkland,2932
21637,Snohomish,2933
21646,Gresham,2934
21687,Rio Vista,2935
21723,Dunnigan,2936
21758,Wheatland,2937
21766,Sonora,2938
21787,Hoopa,2939
21799,Pismo Beach,2940
21811,Trabuco Canyon,2941
21851,Midway City,2942
21908,La Crescenta,2943
21942,Dunkirk,2944
21947,Plaistow,2945
21971,Ancram,2946
21976,Schoharie,2947
21977,Ballston Lake,2948
21983,Pentwater,2949
21986,Sayville,2950
21989,East Islip,2951
21992,Hawley,2952
21996,Bronxville,2953
22003,Southington,2954
22032,Coal Center,2955
22072,Yadkinville,2956
22137,Geneva,2957
22146,Key West,2958
22171,Scranton,2959
22200,Rising Fawn,2960
22220,Cottonwood Falls,2961
22227,Buffalo Lake,2962
22233,Goodhue,2963
22278,Joliet,2964
22287,Homer Glen,2965
22289,Horse Cave,2966
22300,Bethany,2967
22332,Fruitdale,2968
22389,Elba,2969
22425,Herriman,2970
22471,Montesano,2971
22478,Puyallup,2972
22502,Pasco,2973
22576,Knights Landing,2974
22584,Angels Camp,2975
22616,Newman,2976
22629,Imlay,2977
22631,Fulton,2978
22635,Cobb,2979
22636,Mckinleyville,2980
22641,Redcrest,2981
22642,Bolinas,2982
22647,Fillmore,2983
22715,Hemet,2984
22719,La Mirada,2985
22809,City Of Industry,2986
22842,Monterey Park,2987
22862,Pacific Palisades,2988
22879,Ellington,2989
22884,Fultonville,2990
22885,Herkimer,2991
22894,Montvale,2992
22899,Uniondale,2993
22901,Jefferson Township,2994
22902,Bear,2995
22905,Centerport,2996
22908,Waretown,2997
22922,Rutherford,2998
22929,Matawan,2999
22933,Englewood Cliffs,3000
22948,Jersey Shore,3001
22951,Greenbelt,3002
22970,Swannanoa,3003
22977,New Hill,3004
22991,Valdese,3005
22997,Bear Creek,3006
22998,Mebane,3007
23005,Altavista,3008
23019,Rolesville,3009
23024,Providence Forge,3010
23045,Fellsmere,3011
23070,Donalds,3012
23073,Hope Mills,3013
23106,Alford,3014
23158,Alsip,3015
23161,Grinnell,3016
23163,Rock Island,3017
23211,Bay Minette,3018
23240,Robertsdale,3019
23288,Winterhaven,3020
23306,Oracle,3021
23371,Zamora,3022
23396,Snelling,3023
23447,Delano,3024
23453,Santa Margarita,3025
23501,Pala,3026
23582,Stevenson Ranch,3027
23615,Hinkley,3028
23636,Studio City,3029
23682,Chelmsford,3030
23692,East Taunton,3031
23695,Newton Highlands,3032
23720,North Reading,3033
23740,Goodrich,3034
23775,North Scituate,3035
23782,Warner,3036
23787,West Simsbury,3037
23789,Blandford,3038
23819,Fort Gratiot,3039
23828,Oswayo,3040
23883,Tobyhanna,3041
23889,Somers Point,3042
23890,Voorhees,3043
23906,Briarcliff Manor,3044
23907,Bayonne,3045
23911,Bedminster,3046
23915,Kennett Square,3047
23938,Freeport,3048
23943,Bellport,3049
23960,Goldens Bridge,3050
23961,Clifton,3051
23966,Egg Harbor City,3052
23967,Essington,3053
23968,Glendora,3054
23981,Livingston,3055
23987,Tuxedo Park,3056
24005,Middlesex,3057
24017,Langhorne,3058
24078,South Yarmouth,3059
24083,Groton,3060
24084,Mystic,3061
24088,Ashaway,3062
24091,Macedonia,3063
24096,Saint Michael,3064
24103,Carnegie,3065
24106,Waynesburg,3066
24111,Barberton,3067
24112,Hanover,3068
24117,Crozet,3069
24122,Delta,3070
24146,King George,3071
24152,Olney,3072
24168,Severn,3073
24200,Smithmill,3074
24214,Clear Brook,3075
24257,North Manchester,3076
24285,Liberty Twp,3077
24289,Canal Winchester,3078
24322,Pataskala,3079
24354,Galloway,3080
24363,Brookville,3081
24387,Blountville,3082
24395,Kannapolis,3083
24413,Wytheville,3084
24414,Fincastle,3085
24442,Rocky Mount,3086
24511,New Kent,3087
24583,Stony Creek,3088
24675,Labelle,3089
24696,Immokalee,3090
24724,Homosassa,3091
24730,Port Orange,3092
24731,Micanopy,3093
24748,North Westside,3094
24758,Key Largo,3095
24765,Lake Placid,3096
24825,Lake Wales,3097
24826,Palm Bay,3098
24937,Dacula,3099
24939,Pacolet,3100
24983,Pinewood,3101
25007,Wallace,3102
25023,Mc Coll,3103
25079,Pittsview,3104
25090,Olar,3105
25097,Brunson,3106
25099,Ruffin,3107
25105,Locust Grove,3108
25120,Waco,3109
25144,Defiance,3110
25148,Eldon,3111
25166,Faribault,3112
25171,Danube,3113
25199,Black River Falls,3114
25205,Kaukauna,3115
25208,Wisconsin Dells,3116
25210,Rushmore,3117
25254,Stacy,3118
25263,Maple Lake,3119
25331,Jesup,3120
25334,La Porte City,3121
25335,Pewaukee,3122
25342,Sturgeon Lake,3123
25344,Fort Ripley,3124
25406,South Holland,3125
25408,Clive,3126
25414,Scott City,3127
25438,Seguin,3128
25439,Lakeway,3129
25455,Haslet,3130
25547,Saint Jo,3131
25550,Volente,3132
25552,Spencer,3133
25565,Schriever,3134
25603,Diboll,3135
25614,Depew,3136
25685,Cantonment,3137
25694,Moundville,3138
25747,Notasulga,3139
25749,Anniston,3140
25757,Cecil,3141
25761,Highland Home,3142
25773,Springhill,3143
25874,Evansville,3144
25889,Morrison,3145
25914,Spanish Fork,3146
25925,Henefer,3147
25927,Croydon,3148
25931,Manila,3149
25932,Roy,3150
25941,Kingman,3151
25984,Eloy,3152
26015,El Mirage,3153
26041,Las Cruces,3154
26044,Ganado,3155
26070,Boise,3156
26072,Gold Hill,3157
26074,Creswell,3158
26076,Dexter,3159
26088,Port Townsend,3160
26109,Tillamook,3161
26112,Kalama,3162
26126,El Portal,3163
26130,Big Pine,3164
26137,Pacheco,3165
26163,Pope Valley,3166
26244,Esparto,3167
26248,Guerneville,3168
26252,Fort Bragg,3169
26259,Eureka,3170
26267,Coalinga,3171
26301,Vernon,3172
26305,San Gabriel,3173
26430,Brockton,3174
26465,North Dighton,3175
26467,South Weymouth,3176
26514,Blossvale,3177
26520,Chittenango,3178
26522,Climax,3179
26524,Schoolcraft,3180
26525,Covert,3181
26528,South Haven,3182
26532,Three Rivers,3183
26536,Fennville,3184
26547,Hilton,3185
26566,Springfield Gardens,3186
26567,Claymont,3187
26585,Wyncote,3188
26612,Hollis,3189
26613,Queens Village,3190
26624,Saint Albans,3191
26645,Wynnewood,3192
26651,Babylon,3193
26659,Levittown,3194
26688,Mount Sinai,3195
26741,Berkeley Heights,3196
26747,New Bedford,3197
26760,Fishersville,3198
26778,Hancock,3199
26791,Gordonville,3200
26799,Kinzers,3201
26837,Barboursville,3202
26842,Glen Rock,3203
26851,District 14,3204
26857,Middle River,3205
26871,Louisa,3206
26983,Chuckey,3207
26985,Oak Ridge,3208
26996,Waynesville,3209
27016,Rockwell,3210
27033,Elliston,3211
27091,Mc Leansville,3212
27108,Old Fort,3213
27243,Moseley,3214
27278,Fort Myers Beach,3215
27282,Davie,3216
27305,Sunrise,3217
27361,Ocklawaha,3218
27365,Debary,3219
27422,Dunedin,3220
27466,Tucker,3221
27497,Pelion,3222
27582,Whitmire,3223
27649,Johnsonville,3224
27685,Florahome,3225
27752,Millen,3226
27782,Milledgeville,3227
27805,Owatonna,3228
27829,Luxemburg,3229
27842,Mequon,3230
27878,Crivitz,3231
27882,Scandia,3232
27905,Topeka,3233
27908,Loves Park,3234
27923,Tiffin,3235
27960,Dallas Center,3236
27967,Derby,3237
27989,Schertz,3238
28025,Rayne,3239
28054,Temple,3240
28079,Aledo,3241
28130,Warr Acres,3242
28161,Mcloud,3243
28205,Pride,3244
28207,Breaux Bridge,3245
28226,Roscoe,3246
28233,Longview,3247
28333,Crandall,3248
28345,Nesbit,3249
28347,District 1,3250
28352,Westwego,3251
28359,Vicksburg,3252
28362,Bolton,3253
28383,Leighton,3254
28454,Molino,3255
28464,Arab,3256
28479,Trussville,3257
28482,Kinston,3258
28485,Hazel Green,3259
28487,Jack,3260
28498,Biloxi,3261
28500,Laurel,3262
28536,Hockley,3263
28669,Grand Junction,3264
28713,Roosevelt,3265
28806,Los Ranchos,3266
28831,Eagle Point,3267
28832,Otis,3268
28833,Hebo,3269
28836,Madras,3270
28843,Pacific,3271
28844,Mead,3272
28879,Forest Grove,3273
28883,Hood River,3274
28891,Auberry,3275
28896,Incline Village,3276
28899,Bay Point,3277
28952,Cameron Park,3278
28970,Cottonwood,3279
28983,Half Moon Bay,3280
28995,Rodeo,3281
29014,Kerman,3282
29033,Pearblossom,3283
29063,Homeland,3284
29174,Eden,3285
29180,Orchard Park,3286
29189,Stoneham,3287
29204,Mattapan,3288
29265,Brimfield,3289
29274,Cohoes,3290
29279,Boxborough,3291
29282,Cassville,3292
29284,New York Mills,3293
29314,Honeoye Falls,3294
29327,Macedon,3295
29335,Hewlett,3296
29352,Darby,3297
29358,Rio Grande,3298
29364,Tuckerton,3299
29389,Somerdale,3300
29403,Islip,3301
29406,Collingswood,3302
29412,Wayne,3303
29418,Rockaway,3304
29423,Jackson Heights,3305
29426,Franklin Lakes,3306
29435,Jefferson Valley,3307
29441,Marlboro,3308
29455,Elmhurst Township,3309
29456,Broomall,3310
29460,Northampton,3311
29472,Roseland,3312
29494,Colchester,3313
29495,North Franklin,3314
29496,Jewett City,3315
29497,Mastic,3316
29500,Westhampton Beach,3317
29504,Hampton Bays,3318
29507,West Barnstable,3319
29516,Maple Heights,3320
29523,Ruffs Dale,3321
29528,Harrisville,3322
29530,Volant,3323
29544,Stewartstown,3324
29566,Spring Grove,3325
29573,Thomasville,3326
29584,Wrightsville,3327
29594,Glenn Dale,3328
29598,Crownsville,3329
29615,Davidsonville,3330
29620,Lewisberry,3331
29626,Ruckersville,3332
29627,Berwick,3333
29636,Jarrettsville,3334
29642,Dysart,3335
29657,Crestwood,3336
29764,Weaverville,3337
29808,Troutman,3338
29824,Ringgold,3339
29859,Roaring River,3340
29871,Forest,3341
29885,Pinebluff,3342
29942,Bracey,3343
29987,Butner,3344
30052,Bokeelia,3345
30062,Loxahatchee,3346
30063,West Park,3347
30076,North Port,3348
30135,Cutler Bay,3349
30157,Mulberry,3350
30189,Lithia,3351
30245,Adairsville,3352
30251,Fort Lawn,3353
30305,Waxhaw,3354
30443,Garnett,3355
30445,Ellenwood,3356
30446,Fortson,3357
30494,Saint Joseph,3358
30502,Missouri River,3359
30503,Pevely,3360
30517,Chippewa Falls,3361
30535,Menasha,3362
30549,Dwight,3363
30551,Kankakee,3364
30552,Mc Nabb,3365
30607,Lake Saint Louis,3366
30630,Dekalb,3367
30691,La Salle,3368
30697,South Elgin,3369
30751,Lawton,3370
30779,Wellston,3371
30847,Euless,3372
30899,Kennedale,3373
30958,Kennedy,3374
31004,Forney,3375
31036,Earle,3376
31041,Slidell,3377
31071,Jay,3378
31100,Hoover,3379
31178,Brownsboro,3380
31225,Rosharon,3381
31353,Limon,3382
31379,Fort Duchesne,3383
31381,Spring Creek,3384
31383,Estes Park,3385
31387,Lindon,3386
31392,Kaysville,3387
31408,Gold Canyon,3388
31416,Queen Creek,3389
31453,Lordsburg,3390
31454,San Simon,3391
31470,Kerby,3392
31473,Seal Rock,3393
31480,Greenacres,3394
31486,Edmonds,3395
31488,Chattaroy,3396
31492,Elk,3397
31499,Pacific Beach,3398
31513,Algona,3399
31522,Damascus,3400
31540,Deming,3401
31546,Soulsbyville,3402
31585,Hilmar,3403
31592,Portola Valley,3404
31745,Crescent City,3405
31752,Royal Oaks,3406
31765,San Miguel,3407
31923,Ladera Ranch,3408
32045,Bradford,3409
32046,Niagara Falls,3410
32047,Newburyport,3411
32112,Breckenridge,3412
32131,Keene,3413
32132,East Windsor,3414
32135,Rindge,3415
32136,Valatie,3416
32141,Claverack,3417
32186,Manahawkin,3418
32194,Asbury,3419
32220,Hockessin,3420
32230,Wyandanch,3421
32231,Wallkill,3422
32249,Flourtown,3423
32278,North Bellmore,3424
32305,Massapequa Park,3425
32332,East Stroudsburg,3426
32358,Maple Shade,3427
32359,Thorofare,3428
32385,Mastic Beach,3429
32387,Mattituck,3430
32390,Waterford,3431
32393,Mashpee,3432
32400,Imperial,3433
32401,Middlefield,3434
32403,Chardon,3435
32433,Elizabethtown,3436
32434,Hughesville,3437
32439,Grasonville,3438
32445,Herndon,3439
32462,Quantico,3440
32496,James Creek,3441
32536,Chillicothe,3442
32568,Milan,3443
32648,Boones Mill,3444
32675,Hurley,3445
32735,Farmville,3446
32739,Brodnax,3447
32964,Key Biscayne,3448
33016,Mountville,3449
33082,Flowery Branch,3450
33132,Heath Springs,3451
33233,Lawtey,3452
33263,Nesmith,3453
33328,Isle of Palms,3454
33383,Winneconne,3455
33395,Edina,3456
33397,Mosinee,3457
33406,Edgar,3458
33427,Detroit Lakes,3459
33429,Park Rapids,3460
33435,Kimball,3461
33452,Champlin,3462
33491,Grain Valley,3463
33504,Cudahy,3464
33508,Saint Francis,3465
33521,Delafield,3466
33524,Wadena,3467
33528,Evergreen Park,3468
33573,Schuyler,3469
33592,Winnetka,3470
33593,Palos Hills,3471
33605,Marne,3472
33613,Lipan,3473
33620,Converse,3474
33662,Manchaca,3475
33821,Loraine,3476
33898,Howe,3477
33900,Batesville,3478
33901,Vaughan,3479
33946,Hayden,3480
34018,Gadsden,3481
34021,Shelbyville,3482
34026,Alexander City,3483
34031,Mc Lain,3484
34133,Harrold,3485
34187,Duchesne,3486
34191,South Salt Lake,3487
34210,Salome,3488
